Scan Code,Modifier,Description,Price,Cost,Units/Case,Department # In register,Tax Type # In register,Is Foodstampable,Current Inventory,Price Group Name,Vendor Name,Linked Item
089826300402,,DOS EQUIS LAGER LIME & SALT 12/24OZ CAN - 17/119,3.99,,12,,,,,,,
072311230186,,DOS EQUIS SPECIAL LAGER 1/18/12OZ BTL - 15/105,31.89,,1,,,,,,,
072311321242,,DOS EQUIS SPECIAL LAGER 12/24OZ CAN - 17/119,3.99,,12,,,,,,,
072311230124,,DOS EQUIS SPECIAL LAGER 2/12/12OZ BTL - 12/84,22.59,,2,,,,,,,
033544950609,,MODELO CHELADA LIMON Y SAL 12/24OZ CAN,3.99,,12,,,,,,,
033544001301,,MODELO CHELADA LIMON Y SAL 2/12/12OZ CAN,22.59,,2,,,,,,,
033544000267,,MODELO CHELADA MANGO Y CHILE 12/24OZ CAN,3.99,,12,,,,,,,
033544001585,,MODELO CHELADA NARANJA PICOSA 12/24OZ CAN,3.99,,12,,,,,,,
033544000809,,MODELO CHELADA PINA PICANTE 12/24OZ CAN,3.99,,12,,,,,,,
033544001875,,MODELO CHELADA SPICY SANDIA 12/24OZ CAN,3.99,,12,,,,,,,
033544001776,,MODELO CHELADA VRTY 2/12/12OZ CAN,22.59,,2,,,,,,,
033544950272,,MODELO ESPECIAL 1/18/12OZ BTL - LP,30.99,,1,,,,,,,
080660957111,,MODELO ESPECIAL 1/18/12OZ CAN - LP,28.39,,1,,,,,,,
080660957777,,MODELO ESPECIAL 12/24OZ BTL,3.99,,12,,,,,,,
080660957210,,MODELO ESPECIAL 12/24OZ CAN - 14/84,3.99,,12,,,,,,,
033544950906,,MODELO ESPECIAL 12/32OZ BTL - 8/40,5.09,,12,,,,,,,
080660957579,,MODELO ESPECIAL 2/12/12OZ BTL - LP,22.59,,2,,,,,,,
080660957159,,MODELO ESPECIAL 2/12/12OZ CAN - LP,21.49,,2,,,,,,,
080660957104,,MODELO ESPECIAL 24/12OZ SUIT CAN - LP,33.99,,24,,,,,,,
080660957654,,MODELO ESPECIAL 4/6/12OZ BTL - LP,12.59,,4,,,,,,,
033544002094,,MODELO ESPECIAL 4/6/12OZ CAN - 9/81,12.19,,4,,,,,,,
033544002100,,MODELO ESPECIAL 6/4/16OZ CAN - 9/56,8.99,,6,,,,,,,
080660957852,,MODELO NEGRA 4/6/12OZ BTL - 7/49,12.59,,4,,,,,,,
033544001653,,MODELO ORO 12/24OZ CAN - 14/112,3.99,,12,,,,,,,
033544001622,,MODELO ORO 2/12/12OZ CAN - 9/84,21.49,,2,,,,,,,
033544001608,,MODELO RANCH WATER 12/24OZ CAN - 14/112,3.99,,12,,,,,,,
033544001431,,MODELO RANCH WATER 4/6/12OZ CAN - 9/81,12.69,,4,,,,,,,
7.54527E+11,,NB VOODOO FRUIT FORCE IPA 15/19.2OZ CAN - 18/108,3.49,,15,,,,,,,
7.54527E+11,,NB VOODOO FRUIT FORCE IPA 4/6/12OZ CAN - 10/100,11.79,,4,,,,,,,
7.54527E+11,,NB VOODOO IMPERIAL IPA 15/19.2OZ CAN - 18/108,3.09,,15,,,,,,,
7.54527E+11,,NB VOODOO IMPERIAL IPA 4/6/12OZ BTL - 12/60,11.79,,4,,,,,,,
7.54527E+11,,NB VOODOO JUICE FORCE IPA 15/19.2OZ CAN - 18/108,3.49,,15,,,,,,,
7.54527E+11,,NB VOODOO JUICE FORCE IPA 4/6/12OZ CAN - 10/100,11.79,,4,,,,,,,
7.54527E+11,,NB VOODOO TROPIC FORCE IPA 15/19.2OZ CAN - 18/108,3.49,,15,,,,,,,
080660953052,,PACIFICO 12/32OZ BTL - 8/40,5.09,,12,,,,,,,
033544950319,,PACIFICO 2/12/12OZ CAN - 9/117,21.49,,2,,,,,,,
080660953014,,PACIFICO 4/6/12OZ BTL - 9/45,12.59,,4,,,,,,,
8.59794E+11,,REVOLVER BLOOD & HONEY 4/6/12OZ BTL - 8/40,11.79,,4,,,,,,,
8.59794E+11,,REVOLVER BLOOD & HONEY 4/6/12OZ CAN - 7/70,11.79,,4,,,,,,,
8.50041E+11,,REVOLVER BLOOD & HONEY LIGHT 4/6/12OZ CAN - 7/70,11.79,,4,,,,,,,
088004040895,,SAZERAC FIREBALL CINNAMON 12/10/50ML BTL-18/108,10.69,,12,,,,,,,
088004040901,,SAZERAC FIREBALL CINNAMON 48/100ML BTL-14/140,2.69,,48,,,,,,,
088004044558,,SAZERAC FIREBALL CINNAMON 6/20/50ML BTL-6/24,19.99,,6,,,,,,,
088004040918,,SAZERAC FIREBALL CINNAMON 8/6/100ML BTL-14/140,2.69,,8,,,,,,,
088004032661,,SAZERAC FLASH POINT CINNAMON 24/187ML BTL-6/102,2.19,,24,,,,,,,
088004058784,,SAZERAC SOUTHERN COMFORT 12/10/50ML BTL-18/108,2.09,,12,,,,,,,
088004032623,,SAZERAC STROYSKI 24/187ML BTL-6/102 $2.09,2.09,,24,,,,,,,
088004059330,,SAZERAC TAAKA 12/10/50ML BTL-18/108 $2.09,2.09,,12,,,,,,,
088004032654,,SAZERAC VERA CRUZ RESERVA ESPECIAL 24/187ML BTL-6/102 $2.09,2.09,,24,,,,,,,
088573800029,,SHINER (S) PEACH WHEAT 4/6/12OZ BTL-12/60,11.79,,4,,,,,,,
088573433333,,SHINER BOCK 2/12/12OZ BTL-12/60,20.79,,2,,,,,,,
